plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
PD3	D4	OK	29.09	15.3	23.27	10.0
PD3	E4	transfer too small	11.45	0	8.0	11.45
PD3	F4	OK	24.95	12.0	19.96	10.0
PD3	G4	OK	17.14	5.7	13.71	10.0
PD3	H4	conc below target	0.0	0	8.0	0.0
PD3	A5	OK	61.17	40.9	48.94	10.0
PD3	B5	OK	18.64	6.9	14.91	10.0
PD3	C5	conc below target	0.0	0	8.0	0.0
PD3	D5	conc below target	4.44	0	8.0	4.44
PD3	E5	transfer too small	10.5	0	8.0	10.5
PD3	F5	conc below target	3.19	0	8.0	3.19
PD3	G5	conc below target	6.78	0	8.0	6.78
PD3	H5	OK	19.49	7.6	15.59	10.0
PD3	A6	conc below target	0.0	0	8.0	0.0
PD3	B6	conc below target	0.31	0	8.0	0.31
PD3	C6	OK	34.7	19.8	27.76	10.0
PD3	D6	OK	18.76	7.0	15.01	10.0
PD3	E6	transfer too small	15.98	0	8.0	15.98
PD3	F6	OK	30.34	16.3	24.27	10.0
PD3	G6	OK	27.23	13.8	21.78	10.0
PD3	H6	OK	61.07	40.9	48.86	10.0
PD3	A7	OK	55.85	36.7	44.68	10.0
PD3	B7	OK	39.05	23.2	31.24	10.0
PD3	C7	OK	19.42	7.5	15.54	10.0
PD3	D7	conc below target	0.62	0	8.0	0.62
PD3	E7	conc below target	1.09	0	8.0	1.09
PD3	F7	OK	16.26	5.0	13.01	10.0
PD3	G7	conc below target	0.0	0	8.0	0.0
PD3	H7	conc below target	0.0	0	8.0	0.0
PD3	A8	transfer too small	12.16	0	8.0	12.16
PD3	B8	conc below target	0.0	0	8.0	0.0
PD3	C8	conc below target	4.15	0	8.0	4.15
PD3	D8	conc below target	4.1	0	8.0	4.1
PD3	E8	OK	17.52	6.0	14.02	10.0
PD3	F8	conc below target	0.14	0	8.0	0.14
PD3	G8	OK	20.51	8.4	16.41	10.0
PD3	H8	conc below target	0.36	0	8.0	0.36
PD3	A9	conc below target	3.34	0	8.0	3.34
PD3	B9	transfer too small	15.89	0	8.0	15.89
PD3	C9	OK	34.74	19.8	27.79	10.0
PD3	D9	transfer too small	13.44	0	8.0	13.44
PD3	E9	OK	34.81	19.8	27.85	10.0
PD3	F9	OK	30.53	16.4	24.42	10.0
PD3	G9	OK	18.01	6.4	14.41	10.0
PD3	H9	OK	17.99	6.4	14.39	10.0
PD3	A10	transfer too small	15.6	0	8.0	15.6
PD3	B10	OK	42.78	26.2	34.22	10.0
PD3	C10	OK	16.37	5.1	13.1	10.0
PD3	D10	conc below target	3.69	0	8.0	3.69
PD3	E10	conc below target	0.0	0	8.0	0.0
PD3	F10	conc below target	6.57	0	8.0	6.57
PD3	G10	OK	101.7	73.4	81.36	10.0
PD3	H10	OK	51.2	33.0	40.96	10.0
PD3	A11	conc below target	0.0	0	8.0	0.0
PD3	B11	conc below target	7.13	0	8.0	7.13
PD3	C11	OK	27.02	13.6	21.62	10.0
PD3	D11	conc below target	9.6	0	8.0	9.6
PD3	E11	OK	32.42	17.9	25.94	10.0
PD3	F11	conc below target	3.77	0	8.0	3.77
PD3	G11	OK	38.04	22.4	30.43	10.0
PD3	H11	OK	25.37	12.3	20.3	10.0
PD3	A12	OK	24.67	11.7	19.74	10.0
PD3	B12	conc below target	9.52	0	8.0	9.52
PD3	C12	conc below target	0.0	0	8.0	0.0
PD3	D12	conc below target	8.95	0	8.0	8.95
PD3	E12	conc below target	2.05	0	8.0	2.05
PD3	F12	conc below target	1.41	0	8.0	1.41
PD3	G12	transfer too small	14.64	0	8.0	14.64
PD3	H12	conc below target	0.0	0	8.0	0.0
PD4	A1	transfer too small	12.05	0	8.0	12.05
PD4	B1	conc below target	0.0	0	8.0	0.0
PD4	C1	conc below target	2.61	0	8.0	2.61
PD4	D1	OK	24.38	11.5	19.5	10.0
PD4	E1	transfer too small	11.8	0	8.0	11.8
PD4	F1	OK	67.23	45.8	53.78	10.0
PD4	G1	OK	50.19	32.2	40.15	10.0
PD4	H1	OK	68.54	46.8	54.83	10.0
PD4	A2	OK	20.6	8.5	16.48	10.0
PD4	B2	OK	45.06	28.0	36.05	10.0
PD4	C2	transfer too small	10.19	0	8.0	10.19
PD4	D2	OK	43.4	26.7	34.72	10.0
PD4	E2	OK	16.41	5.1	13.13	10.0
PD4	F2	transfer too small	11.52	0	8.0	11.52
PD4	G2	transfer too small	12.56	0	8.0	12.56
PD4	H2	conc below target	2.55	0	8.0	2.55
PD4	A3	OK	45.58	28.5	36.46	10.0
PD4	B3	OK	38.78	23.0	31.02	10.0
PD4	C3	OK	21.15	8.9	16.92	10.0
PD4	D3	OK	55.05	36.0	44.04	10.0
PD4	E3	OK	35.52	20.4	28.42	10.0
PD4	F3	conc below target	0.0	0	8.0	0.0
PD4	G3	OK	23.71	11.0	18.97	10.0
PD4	H3	conc below target	7.94	0	8.0	7.94
PD4	A4	OK	51.77	33.4	41.42	10.0
PD4	B4	OK	32.05	17.6	25.64	10.0
PD4	C4	OK	32.03	17.6	25.62	10.0
PD4	D4	conc below target	6.99	0	8.0	6.99
PD4	E4	OK	32.12	17.7	25.7	10.0
PD4	F4	OK	28.24	14.6	22.59	10.0
PD4	G4	OK	41.76	25.4	33.41	10.0
PD4	H4	transfer too small	13.65	0	8.0	13.65
PD4	A5	OK	67.97	46.4	54.38	10.0
PD4	B5	conc below target	0.0	0	8.0	0.0
PD4	C5	OK	34.36	19.5	27.49	10.0
PD4	D5	conc below target	9.52	0	8.0	9.52
PD4	E5	transfer too small	11.84	0	8.0	11.84
PD4	F5	OK	31.01	16.8	24.81	10.0
PD4	G5	OK	79.39	55.5	63.51	10.0
PD4	H5	OK	62.33	41.9	49.86	10.0
PD4	A6	OK	32.99	18.4	26.39	10.0
PD4	B6	OK	30.54	16.4	24.43	10.0
PD4	C6	OK	34.76	19.8	27.81	10.0
PD4	D6	conc below target	9.8	0	8.0	9.8
PD4	E6	OK	35.83	20.7	28.66	10.0
PD4	F6	conc below target	8.39	0	8.0	8.39
PD4	G6	OK	35.26	20.2	28.21	10.0
PD4	H6	conc below target	4.9	0	8.0	4.9
PD4	A7	conc below target	0.0	0	8.0	0.0
PD4	B7	OK	18.69	7.0	14.95	10.0
PD4	C7	transfer too small	12.36	0	8.0	12.36
PD4	D7	OK	42.72	26.2	34.18	10.0
PD4	E7	OK	66.27	45.0	53.02	10.0
PD4	F7	conc below target	0.0	0	8.0	0.0
PD4	G7	OK	17.69	6.2	14.15	10.0
PD4	H7	conc below target	0.84	0	8.0	0.84
PD4	A8	OK	20.05	8.0	16.04	10.0
PD4	B8	OK	65.93	44.7	52.74	10.0
PD4	C8	conc below target	1.44	0	8.0	1.44
PD4	D8	transfer too small	12.93	0	8.0	12.93
PD4	E8	OK	49.0	31.2	39.2	10.0
PD4	F8	OK	32.91	18.3	26.33	10.0
PD4	G8	OK	60.84	40.7	48.67	10.0
PD4	H8	conc below target	0.0	0	8.0	0.0
PD4	A9	OK	48.1	30.5	38.48	10.0
PD4	B9	conc below target	4.02	0	8.0	4.02
PD4	C9	OK	23.16	10.5	18.53	10.0
PD4	D9	OK	19.43	7.5	15.54	10.0
PD4	E9	OK	20.76	8.6	16.61	10.0
PD4	F9	OK	67.74	46.2	54.19	10.0
PD4	G9	transfer too small	13.68	0	8.0	13.68
PD4	H9	transfer too small	13.07	0	8.0	13.07
PD4	A10	OK	46.84	29.5	37.47	10.0
PD4	B10	conc below target	5.7	0	8.0	5.7
PD4	C10	transfer too small	13.68	0	8.0	13.68
PD4	D10	conc below target	6.33	0	8.0	6.33
PD4	E10	conc below target	9.51	0	8.0	9.51
PD4	F10	OK	47.39	29.9	37.91	10.0
PD4	G10	OK	35.46	20.4	28.37	10.0
PD4	H10	OK	26.42	13.1	21.14	10.0
PD4	A11	conc below target	0.0	0	8.0	0.0
PD4	B11	conc below target	0.34	0	8.0	0.34
PD4	C11	OK	26.79	13.4	21.43	10.0
PD4	D11	OK	47.07	29.7	37.66	10.0
PD4	E11	OK	36.92	21.5	29.54	10.0
PD4	F11	OK	97.47	70.0	77.98	10.0
PD4	G11	OK	19.66	7.7	15.73	10.0
PD4	H11	OK	63.66	42.9	50.93	10.0
PD4	A12	conc below target	0.0	0	8.0	0.0
PD4	B12	conc below target	5.44	0	8.0	5.44
PD4	C12	OK	20.67	8.5	16.54	10.0
PD4	D12	OK	37.73	22.2	30.18	10.0
PD4	E12	transfer too small	14.83	0	8.0	14.83
PD4	F12	OK	45.45	28.4	36.36	10.0
PD4	G12	OK	51.13	32.9	40.9	10.0
PD4	H12	conc below target	0.0	0	8.0	0.0
PD5	A1	conc below target	0.0	0	8.0	0.0
PD5	B1	transfer too small	10.12	0	8.0	10.12
PD5	C1	conc below target	3.84	0	8.0	3.84
PD5	D1	conc below target	0.0	0	8.0	0.0
PD5	E1	conc below target	3.94	0	8.0	3.94
