plate_name,well,value,conc,r2
plateC,E03,13637,22.71521936285745,0.9864932927057045
plateC,F03,765,1.4683620964325508,0.9864932927057045
plateC,G03,821,1.560797149797979,0.9864932927057045
plateC,H03,761,1.4617595926207345,0.9864932927057045
plateC,A04,801,1.5277846307388976,0.9864932927057045
plateC,B04,38027,62.97398635540742,0.9864932927057045
plateC,C04,783,1.498073363585724,0.9864932927057045
plateC,D04,787,1.5046758673975402,0.9864932927057045
plateC,E04,822,1.562447775750933,0.9864932927057045
plateC,F04,888,1.6713890886459022,0.9864932927057045
plateC,G04,2449,4.248016201207219,0.9864932927057045
plateC,H04,703,1.3660232873493978,0.9864932927057045
plateC,A05,38293,63.4130528588932,0.9864932927057045
plateC,B05,788,1.5063264933504943,0.9864932927057045
plateC,C05,19199,31.896000913188033,0.9864932927057045
plateC,D05,842,1.5954602948100147,0.9864932927057045
plateC,E05,7112,11.944885019832086,0.9864932927057045
plateC,F05,19484,32.366429309779946,0.9864932927057045
plateC,G05,744,1.433698951420515,0.9864932927057045
plateC,H05,9935,16.60460208502145,0.9864932927057045
plateC,A06,736,1.4204939437968824,0.9864932927057045
plateC,B06,766,1.4700127223855048,0.9864932927057045
plateC,C06,831,1.57730340932752,0.9864932927057045
plateC,D06,891,1.6763409665047644,0.9864932927057045
plateC,E06,855,1.6169184321984176,0.9864932927057045
plateC,F06,19845,32.962305278796364,0.9864932927057045
plateC,G06,10435,17.42991506149849,0.9864932927057045
plateC,H06,701,1.3627220354434897,0.9864932927057045
plateC,A07,716,1.3874814247378007,0.9864932927057045
plateC,B07,28023,46.46112432205482,0.9864932927057045
plateC,C07,51257,84.81176771298988,0.9864932927057045
plateC,D07,862,1.6284728138690965,0.9864932927057045
plateC,E07,2769,4.776216506152524,0.9864932927057045
plateC,F07,3311,5.670855772653635,0.9864932927057045
plateC,G07,1268,2.2986269507684525,0.9864932927057045
plateC,H07,5535,9.341847892023504,0.9864932927057045
plateC,A08,964,1.7968366610704125,0.9864932927057045
plateC,B08,14436,24.03406949926776,0.9864932927057045
plateC,C08,34106,56.50188199387448,0.9864932927057045
plateC,D08,13566,22.59802492019771,0.9864932927057045
plateC,E08,872,1.6449790733986371,0.9864932927057045
plateC,F08,977,1.8182947984588154,0.9864932927057045
plateC,G08,15129,25.177953284664934,0.9864932927057045
plateC,H08,3078,5.286259925615334,0.9864932927057045
plateC,A09,19711,32.74112140110052,0.9864932927057045
plateC,B09,879,1.6565334550693156,0.9864932927057045
plateC,C09,7440,12.486290332401024,0.9864932927057045
plateC,D09,827,1.5707009055157037,0.9864932927057045
plateC,E09,7003,11.764966790960091,0.9864932927057045
plateC,F09,31710,52.546982210596504,0.9864932927057045
plateC,G09,735,1.4188433178439284,0.9864932927057045
plateC,H09,2738,4.725047101610947,0.9864932927057045
plateC,A10,1374,2.4735933017815848,0.9864932927057045
plateC,B10,819,1.5574958978920708,0.9864932927057045
plateC,C10,26833,44.496879438039464,0.9864932927057045
plateC,D10,789,1.5079771193034484,0.9864932927057045
plateC,E10,42005,69.54017639625874,0.9864932927057045
plateC,F10,837,1.5872071650452444,0.9864932927057045
plateC,G10,792,1.512928997162311,0.9864932927057045
plateC,H10,24443,40.55188341047922,0.9864932927057045
plateC,A11,27467,45.54337629221235,0.9864932927057045
plateC,B11,782,1.49642273763277,0.9864932927057045
plateC,C11,7222,12.126453874657035,0.9864932927057045
plateC,D11,755,1.4518558369030101,0.9864932927057045
plateC,E11,1911,3.3599794385179247,0.9864932927057045
plateC,F11,740,1.4270964476086987,0.9864932927057045
plateC,G11,747,1.4386508292793772,0.9864932927057045
plateC,H11,718,1.3907826766437088,0.9864932927057045
plateC,A12,727,1.4056383102202958,0.9864932927057045
plateC,B12,1055,1.9470436227892334,0.9864932927057045
plateC,C12,810,1.5426402643154842,0.9864932927057045
plateC,D12,705,1.369324539255306,0.9864932927057045
plateC,E12,738,1.4237951957027906,0.9864932927057045
plateC,F12,682,1.331360142337362,0.9864932927057045
plateC,G12,696,1.3544689056787194,0.9864932927057045
plateC,H12,671,1.3132032568548673,0.9864932927057045
