Sample_ID,Well,Plate,Country,RNA_conc(ng/µl),Aim conc (ng/µl),Final conc (ng/µl),RNA (µl),H2O (µl),End_vol (µl),,Final Conc.Total (ng),,,
CAR0783,E02,RPA0004,USA,124.7,20.0,20.0,8.0,42.0,50.0,50.0,1000.0,,,
CAR0542,F02,RPA0004,USA,184.7,20.0,20.4,5.6,45.0,50.0,50.6,1022.1,,,
CGR0208,G02,RPA0004,GER,52.5,20.0,20.0,19.0,31.0,50.0,50.0,1000.0,,,
CFR0198,H02,RPA0004,FRA,20.5,20.0,10.3,25.0,25.0,50.0,50.0,512.5,,,
CFR0074,A03,RPA0004,FRA,9.1,20.0,4.6,25.0,25.0,50.0,50.0,227.5,,,
CGR0458,B03,RPA0004,GER,118.2,20.0,20.1,8.6,42.0,50.0,50.6,1004.5,,,
CAR0461,C03,RPA0004,USA,60,20.0,19.9,16.6,33.4,50.0,50.0,996.0,,,
CFR0245,D03,RPA0004,FRA,112.8,20.0,20.3,9.0,41.0,50.0,50.0,1015.2,,,
EB,E03,RPA0004,EB,6.9,20.0,3.5,25.0,25.0,50.0,50.0,172.5,,,
CFR0138,F03,RPA0004,FRA,14.1,20.0,7.1,25.0,25.0,50.0,50.0,352.5,,,
CAR0434,G03,RPA0004,USA,64.4,20.0,19.3,15.0,35.0,50.0,50.0,966.0,,,
CFR0366,H03,RPA0004,FRA,111.4,20.0,20.0,9.0,41.0,50.0,50.0,1000.0,,,
CAR0386,A04,RPA0004,USA,193.5,20.0,20.7,5.4,45.0,50.0,50.4,1036.6,,,
CGR0252,B04,RPA0004,GER,426.9,20.0,20.5,2.4,47.6,50.0,50.0,1024.6,,,
CFR0290,C04,RPA0004,FRA,170.2,20.0,20.4,6.0,44.0,50.0,50.0,1021.2,,,
CGR0222,D04,RPA0004,GER,134.4,20.0,19.7,7.4,43.0,50.0,50.4,986.7,,,
CFR0306,E04,RPA0004,FRA,148.9,20.0,20.8,7.0,43.0,50.0,50.0,1042.3,,,
CGR0206,F04,RPA0004,GER,47.5,20.0,20.0,21.0,29.0,50.0,50.0,997.5,,,
CAR0561,G04,RPA0004,USA,11.2,20.0,5.6,25.0,25.0,50.0,50.0,280.0,,,
CAR0912,H04,RPA0004,USA,113.1,20.0,20.4,9.0,41.0,50.0,50.0,1017.9,,,
CFR0356,A05,RPA0004,FRA,22.6,20.0,11.3,25.0,25.0,50.0,50.0,565.0,,,
CGR0267,B05,RPA0004,GER,188.7,20.0,20.2,5.4,45.0,50.0,50.4,1010.9,,,
CFR0003,C05,RPA0004,FRA,28,20.0,14.0,25.0,25.0,50.0,50.0,700.0,,,
CFR0073,D05,RPA0004,FRA,30.4,20.0,15.2,25.0,25.0,50.0,50.0,760.0,,,
CGR0229,E05,RPA0004,GER,69.3,20.0,20.8,15.0,35.0,50.0,50.0,1039.5,,,
CFR0403,F05,RPA0004,FRA,347.5,20.0,20.9,3.0,47.0,50.0,50.0,1042.5,,,
CFR0389,G05,RPA0004,FRA,97.9,20.0,19.6,10.0,40.0,50.0,50.0,979.0,,,
CGR0290,H05,RPA0004,GER,231.3,20.0,20.2,4.4,46.0,50.0,50.4,1009.6,,,
CFR0256,A06,RPA0004,FRA,320,20.0,20.4,3.2,47.0,50.0,50.2,1019.9,,,
CAR0851,B06,RPA0004,USA,215.8,20.0,19.9,4.6,45.4,50.0,50.0,992.7,,,
CGR0331,C06,RPA0004,GER,93.6,20.0,18.7,10.0,40.0,50.0,50.0,936.0,,,
CFR0246,D06,RPA0004,FRA,120.3,20.0,19.7,8.2,42.0,50.0,50.2,982.5,,,
CFR0415,E06,RPA0004,FRA,233.4,20.0,20.4,4.4,46.0,50.0,50.4,1018.8,,,
CAR0371,F06,RPA0004,USA,128.9,20.0,20.6,8.0,42.0,50.0,50.0,1031.2,,,
CGR0343,G06,RPA0004,GER,370.3,20.0,20.7,2.8,47.2,50.0,50.0,1036.8,,,
CGR0293,H06,RPA0004,GER,280.7,20.0,20.2,3.6,47.0,50.0,50.6,1010.5,,,
CGR0176,A07,RPA0004,GER,172.9,20.0,20.7,6.0,44.0,50.0,50.0,1037.4,,,
CFR0425,B07,RPA0004,FRA,8.3,20.0,4.2,25.0,25.0,50.0,50.0,207.5,,,
CFR0411,C07,RPA0004,FRA,51.5,20.0,20.6,20.0,30.0,50.0,50.0,1030.0,,,
CGR0350,D07,RPA0004,GER,279.7,20.0,19.9,3.6,47.0,50.0,50.6,995.0,,,
CAR0960,E07,RPA0004,USA,623.3,20.0,24.9,2.0,48.0,50.0,50.0,1246.6,,,
CAR0565,F07,RPA0004,USA,51.8,20.0,19.8,19.2,31.0,50.0,50.2,990.6,,,
CAR0348,G07,RPA0004,USA,53.8,20.0,19.8,18.6,32.0,50.0,50.6,988.8,,,
CGR0254,H07,RPA0004,GER,12.9,20.0,6.5,25.0,25.0,50.0,50.0,322.5,,,
CGR0234,A08,RPA0004,GER,30.5,20.0,15.3,25.0,25.0,50.0,50.0,762.5,,,
CFR0278,B08,RPA0004,FRA,110.2,20.0,19.8,9.0,41.0,50.0,50.0,991.8,,,
CAR0566,C08,RPA0004,USA,55.7,20.0,20.0,18.0,32.0,50.0,50.0,1000.0,,,
CGR0283,D08,RPA0004,GER,54.6,20.0,19.7,18.0,32.0,50.0,50.0,982.8,,,
CFR0299,E08,RPA0004,FRA,66.1,20.0,19.8,15.0,35.0,50.0,50.0,991.5,,,
CGR0250,F08,RPA0004,GER,303,20.0,20.4,3.4,47.0,50.0,50.4,1022.0,,,
CFR0460,G08,RPA0004,FRA,233.5,20.0,20.4,4.4,46.0,50.0,50.4,1019.2,,,
CGR0292,H08,RPA0004,GER,354,20.0,19.8,2.8,47.2,50.0,50.0,991.2,,,
CFR0102,A09,RPA0004,FRA,204.1,20.0,20.4,5.0,45.0,50.0,50.0,1020.5,,,
CAR0439,B09,RPA0004,USA,13.7,20.0,6.9,25.0,25.0,50.0,50.0,342.5,,,
blank,C09,RPA0004,BLANK,7.4,20.0,3.7,25.0,25.0,50.0,50.0,185.0,,,
CGR0148,D09,RPA0004,GER,356.7,20.0,20.0,2.8,47.2,50.0,50.0,998.8,,,
CGR0211,E09,RPA0004,GER,125.6,20.0,20.0,8.0,42.0,50.0,50.0,1000.0,,,
CFR0303,F09,RPA0004,FRA,155.2,20.0,19.9,6.4,44.0,50.0,50.4,993.3,,,
DEPC,G09,RPA0004,DEPC,5.1,20.0,2.6,25.0,25.0,50.0,50.0,127.5,,,
